Team,Year,Perc_foreign
Oldham Athletic,2006,
Oldham Athletic,2007,
Oldham Athletic,2008,
Oldham Athletic,2009,
Oldham Athletic,2010,
Oldham Athletic,2011,
Oldham Athletic,2012,
Oldham Athletic,2013,
Oldham Athletic,2014,
Portsmouth FC,1992,
Portsmouth FC,1993,
Portsmouth FC,1994,
Portsmouth FC,1995,
Portsmouth FC,1996,
Portsmouth FC,1997,
Portsmouth FC,1998,
Portsmouth FC,1999,
Portsmouth FC,2000,
Portsmouth FC,2001,
Portsmouth FC,2002,
Portsmouth FC,2003,70.27
Portsmouth FC,2004,63.64
Portsmouth FC,2005,80.0
Portsmouth FC,2006,61.54
Portsmouth FC,2007,67.86
Portsmouth FC,2008,61.29
Portsmouth FC,2009,64.44
Portsmouth FC,2010,
Portsmouth FC,2011,
Portsmouth FC,2012,
Portsmouth FC,2013,
Portsmouth FC,2014,
Queens Park Rangers,1992,25.0
Queens Park Rangers,1993,25.0
Queens Park Rangers,1994,29.17
Queens Park Rangers,1995,33.33
Queens Park Rangers,1996,
Queens Park Rangers,1997,
Queens Park Rangers,1998,
Queens Park Rangers,1999,
Queens Park Rangers,2000,
Queens Park Rangers,2001,
Queens Park Rangers,2002,
Queens Park Rangers,2003,
Queens Park Rangers,2004,
Queens Park Rangers,2005,
Queens Park Rangers,2006,
Queens Park Rangers,2007,
Queens Park Rangers,2008,
Queens Park Rangers,2009,
Queens Park Rangers,2010,
Queens Park Rangers,2011,50.0
Queens Park Rangers,2012,54.55
Queens Park Rangers,2013,
Queens Park Rangers,2014,58.62
Reading FC,1992,
Reading FC,1993,
Reading FC,1994,
Reading FC,1995,
Reading FC,1996,
Reading FC,1997,
Reading FC,1998,
Reading FC,1999,
Reading FC,2000,
Reading FC,2001,
Reading FC,2002,
Reading FC,2003,
Reading FC,2004,
Reading FC,2005,
Reading FC,2006,67.65
Reading FC,2007,69.77
Reading FC,2008,
Reading FC,2009,
Reading FC,2010,
Reading FC,2011,
Reading FC,2012,70.97
Reading FC,2013,
Reading FC,2014,
Sheffield United,1992,22.22
Sheffield United,1993,28.57
Sheffield United,1994,
Sheffield United,1995,
Sheffield United,1996,
Sheffield United,1997,
Sheffield United,1998,
Sheffield United,1999,
Sheffield United,2000,
Sheffield United,2001,
Sheffield United,2002,
Sheffield United,2003,
Sheffield United,2004,
Sheffield United,2005,
Sheffield United,2006,50.0
Sheffield United,2007,
Sheffield United,2008,
Sheffield United,2009,
Sheffield United,2010,
Sheffield United,2011,
Sheffield United,2012,
Sheffield United,2013,
Sheffield United,2014,
Sheffield Wednesday,1992,21.43
Sheffield Wednesday,1993,17.86
Sheffield Wednesday,1994,24.0
